"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
0, 1.200000000000000e-02, 6.000000000000000e-03, 1.811018311701942e+00, 1.368527691462507e-02, 1.823919769348625e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.257830912467177e+05, 4.211935016059139e-04
1, 2.300000000000000e-02, 0.000000000000000e+00, 1.571471045973794e+00, 1.187509606529425e-02, 1.582591184924662e-12, 1.012461752930771e+01, -1.081300803081657e+00, -1.103008895304993e+05, 3.654798888367041e-04
2, 1.400000000000000e-02, 6.000000000000000e-03, 1.765514446753689e+00, 1.334141899310172e-02, 1.778115280957255e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.244162918796967e+05, 4.106100796270129e-04
3, 3.500000000000000e-02, 0.000000000000000e+00, 1.397418502416914e+00, 1.055983754975012e-02, 1.408029870664248e-12, 5.595236997417265e+01, 1.727922492366674e+01, -7.799206885259935e+04, 3.249837309312492e-04
4, 2.900000000000000e-02, 3.500000000000000e-03, 1.538134846548587e+00, 1.162318523840312e-02, 1.549267353509673e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.076686870986009e+05, 3.577305413381399e-04
5, 6.000000000000000e-02, 0.000000000000000e+00, 9.613607461600616e-02, 7.264690777026970e-04, 9.696710772165946e-14, 5.065052967215077e+00, 3.953006508223362e-01, 1.494143238646607e+05, 4.014920849516632e+03
6, 6.000000000000000e-02, 5.500000000000000e-03, 5.677133954702623e-01, 4.290025658466814e-03, 5.711619253922669e-13, 0.000000000000000e+00, 0.000000000000000e+00, 3.338019659164771e+04, 2.265286007679723e+02
7, 8.000000000000000e-02, 0.000000000000000e+00, 1.351286682421886e+00, 1.021123437598453e-02, 1.361252733822787e-12, -2.807961260112249e+01, 1.805838686362203e-01, -8.944846534753829e+04, 3.244963084115822e-04
8, 8.000000000000000e-02, 5.500000000000000e-03, 1.358669010206196e+00, 1.026702022825962e-02, 1.368199593428400e-12, 0.000000000000000e+00, 0.000000000000000e+00, -9.221840270195949e+04, 3.164509218383828e-04
9, 8.550000000000001e-02, 1.100000000000000e-02, 1.407795174555243e+00, 1.063825068933500e-02, 1.418017316753864e-12, 0.000000000000000e+00, 0.000000000000000e+00, -9.931301247778650e+04, 3.275863240190321e-04
10, 1.185000000000000e-01, 1.100000000000000e-02, 1.382839795708896e+00, 1.044967100031947e-02, 1.392997448806178e-12, -4.929195469536849e+00, 5.947450676116029e-03, -9.431095494186642e+04, 3.324325485404137e-04
11, 1.185000000000000e-01, 0.000000000000000e+00, 1.382816338467203e+00, 1.044949374156607e-02, 1.392974171690439e-12, -4.915443862179937e+00, 2.010247369459192e-03, -9.430694441820995e+04, 3.324390832806190e-04
12, 1.200000000000000e-02, 4.000000000000000e-03, 1.819153332295865e+00, 1.374675062188451e-02, 1.831616545777309e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.268636316868103e+05, 4.230851208494931e-04
13, 1.700000000000000e-02, 4.000000000000000e-03, 1.692126406951074e+00, 1.278684942280489e-02, 1.704210806125446e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.193537920832806e+05, 3.935419929312917e-04
14, 2.200000000000000e-02, 0.000000000000000e+00, 1.495727605654539e+00, 1.130272749865001e-02, 1.506257073136008e-12, 0.000000000000000e+00, 6.637178113150026e+01, -1.041694505661788e+05, 3.478650486945287e-04
