"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -4.110304857,      -6.231974363,      -8.418113775,       -2.19458399,      -1.022839408,       2.271898489,     -0.5688107818
          0,           0,           1,      -4.110267571,      -6.231937078,      -8.418114864,      -2.194277427,      -1.022834721,       2.271867793,     -0.5687963407
          0,           0,           2,      -4.110174729,      -6.231844236,      -8.418116171,      -2.193430352,       -1.02282867,       2.271830985,     -0.5687790112
          0,           0,           3,      -4.109995547,      -6.231665053,      -8.418117739,      -2.191738177,      -1.022820813,       2.271786853,     -0.5687582155
          0,           0,           4,      -4.109685353,      -6.231354859,       -8.41811962,      -2.188767451,      -1.022810537,       2.271733949,     -0.5687332602
          0,           0,           5,      -4.109180324,       -6.23084983,      -8.418121878,      -2.183921381,         -1.022797,       2.271670541,     -0.5687033134
          0,           0,           6,      -4.108390547,      -6.230060052,      -8.418124588,      -2.176412735,      -1.022779045,       2.271594561,     -0.5686673763
          0,           0,           7,      -4.107191349,      -6.228860852,      -8.418127839,      -2.165262393,      -1.022755083,       2.271503541,     -0.5686242506
          0,           0,           8,      -4.105413075,      -6.227082576,       -8.41813174,      -2.149349381,      -1.022722925,       2.271394537,      -0.568572498
          0,           0,           9,      -4.102830148,      -6.224499646,      -8.418136422,      -2.127536094,      -1.022679565,       2.271264045,     -0.5685103925
          0,           0,          10,      -4.099151318,      -6.220820812,      -8.418142039,      -2.098867974,      -1.022620879,       2.271107893,     -0.5684358624
          0,           0,          11,      -4.094014638,      -6.215684126,       -8.41814878,      -2.062799198,      -1.022541236,       2.270921123,     -0.5683464211
          0,           0,          12,      -4.086992467,      -6.208661948,      -8.418156869,      -2.019353663,      -1.022432987,       2.270697851,     -0.5682390844
          0,           0,          13,      -4.077613043,      -6.199282514,      -8.418166574,      -1.969140678,      -1.022285814,       2.270431101,       -0.56811027
          0,           0,          14,       -4.06540402,      -6.187073479,      -8.418178219,      -1.913217244,       -1.02208593,        2.27011261,     -0.5679556778
          0,           0,          15,      -4.049958028,      -6.171627473,      -8.418192192,      -1.852868034,      -1.021815122,       2.269732595,      -0.567770146
          0,           0,          16,      -4.031010344,      -6.152679773,      -8.418208958,      -1.789396798,      -1.021449677,       2.269279477,     -0.5675474776
          0,           0,          17,      -4.009694383,      -6.131363795,      -8.418227992,      -1.727230547,      -1.020981674,       2.268768399,      -0.567294597
          0,           0,          18,      -3.988319067,      -6.109988464,      -8.418247771,      -1.671567646,      -1.020435313,       2.268240769,     -0.5670317409
          0,           0,          19,      -3.968032134,      -6.089701518,      -8.418267546,      -1.623134587,      -1.019832156,       2.267716396,     -0.5667688409
          0,           0,          20,      -3.948939774,      -6.070609148,      -8.418287319,       -1.58047966,      -1.019179079,       2.267194914,     -0.5665058976
          0,           0,          21,      -3.931042033,      -6.052711397,      -8.418307088,       -1.54251438,      -1.018482263,       2.266675985,     -0.5662429115
          0,           0,          22,      -3.914283506,      -6.035952862,      -8.418326855,      -1.508413225,      -1.017747298,       2.266159301,     -0.5659798835
          0,           0,          23,      -3.898582768,      -6.020252116,      -8.418346618,      -1.477540471,      -1.016979252,        2.26564458,     -0.5657168141
          0,           0,          24,      -3.883849015,      -6.005518357,      -8.418366378,      -1.449398792,      -1.016182731,        2.26513156,     -0.5654537039
          0,           0,          25,      -3.869991192,      -5.991660529,      -8.418386135,      -1.423593246,      -1.015361935,       2.264620006,     -0.5651905537
          0,           0,          26,      -3.856922737,      -5.978592068,      -8.418405889,      -1.399805835,      -1.014520699,         2.2641097,     -0.5649273639
          0,           0,          27,      -3.844563814,      -5.966233141,       -8.41842564,       -1.37777726,      -1.013662533,       2.263600444,     -0.5646641352
          0,           0,          28,      -3.832842135,      -5.954511458,      -8.418445388,      -1.357293663,      -1.012790654,       2.263092057,     -0.5644008683
          0,           0,          29,      -3.821692985,      -5.943362305,      -8.418465133,      -1.338176842,      -1.011908018,       2.262584376,     -0.5641375637
          0,           0,          30,      -3.811058857,      -5.932728173,      -8.418484874,      -1.320276894,      -1.011017341,       2.262077249,     -0.5638742221
          0,           0,          31,      -3.800888883,      -5.922558196,      -8.418504613,      -1.303466631,      -1.010121125,       2.261570542,     -0.5636108442
          0,           0,          32,      -3.791138189,        -5.9128075,      -8.418524349,       -1.28763731,      -1.009221677,       2.261064128,     -0.5633474304
          0,           0,          33,      -3.781767243,      -5.903436551,      -8.418544081,      -1.272695294,       -1.00832112,       2.260557897,     -0.5630839814
          0,           0,          34,      -3.772741242,      -5.894410548,      -8.418563811,      -1.258559426,      -1.007421419,       2.260051748,     -0.5628204979
          0,           0,          35,      -3.764029548,      -5.885698852,      -8.418583537,       -1.24515895,      -1.006524382,       2.259545587,     -0.5625569804
          0,           0,          36,       -3.75560518,      -5.877274482,      -8.418603261,       -1.23243183,      -1.005631681,        2.25903933,     -0.5622934294
          0,           0,          37,      -3.747444321,      -5.869113621,      -8.418622982,      -1.220323399,      -1.004744858,       2.258532907,     -0.5620298457
          0,           0,          38,      -3.739525962,       -5.86119526,      -8.418642699,      -1.208785256,      -1.003865338,       2.258026252,     -0.5617662298
          0,           0,          39,      -3.731831532,      -5.853500829,      -8.418662414,      -1.197774358,      -1.002994432,       2.257519307,     -0.5615025822
          0,           0,          40,      -3.724344588,      -5.846013883,      -8.418682125,      -1.187252272,       -1.00213335,        2.25701202,     -0.5612389036
          0,           0,          41,      -3.717050561,      -5.838719855,      -8.418701834,      -1.177184527,      -1.001283206,       2.256504341,     -0.5609751946
          0,           0,          42,      -3.709936616,      -5.831605909,       -8.41872154,      -1.167539996,      -1.000445029,       2.255996197,     -0.5607114557
          0,           0,          43,      -3.702991322,      -5.824660613,      -8.418741242,      -1.158290607,     -0.9996197741,       2.255487521,     -0.5604476875
          0,           0,          44,      -3.696204285,      -5.817873575,      -8.418760942,      -1.149411187,     -0.9988082847,       2.254978311,     -0.5601838905
          0,           0,          45,      -3.689566291,       -5.81123558,      -8.418780639,      -1.140878798,     -0.9980113497,       2.254468545,     -0.5599200654
          0,           0,          46,      -3.683069093,      -5.804738381,      -8.418800333,       -1.13267259,     -0.9972296875,       2.253958195,     -0.5596562128
          0,           0,          47,      -3.676705262,      -5.798374549,      -8.418820024,      -1.124773293,     -0.9964639607,        2.25344725,      -0.559392333
          0,           0,          48,      -3.670468121,      -5.792137407,      -8.418839712,      -1.117163393,     -0.9957147667,       2.252935696,     -0.5591284269
          0,           0,          49,      -3.664351646,      -5.786020931,      -8.418859397,      -1.109826815,     -0.9949826458,       2.252423526,     -0.5588644948
          0,           0,          50,      -3.658350373,      -5.780019657,      -8.418879079,      -1.102748783,     -0.9942680835,        2.25191074,     -0.5586005373
          0,           0,          51,      -3.652459371,      -5.774128654,      -8.418898758,      -1.095915661,     -0.9935715142,       2.251397331,      -0.558336555
          0,           0,          52,      -3.646674163,      -5.768343445,      -8.418918435,      -1.089314854,     -0.9928933258,       2.250883295,     -0.5580725485
          0,           0,          53,      -3.640990649,       -5.76265993,      -8.418938108,      -1.082934697,     -0.9922338621,       2.250368634,     -0.5578085182
